arg-id,x,y,probability,cluster-id
A321_0,2.07857,7.7366104,200.0,0
A341_0,2.0324597,6.875749,0.0,1
A341_1,2.6779337,6.85092,200.0,0
A340_0,1.2250631,7.588739,100.0,2
A339_0,1.9185419,8.358102,200.0,0
A338_0,1.3985479,8.362693,200.0,2
A337_0,2.623854,8.423748,200.0,0
A336_0,1.2446845,6.7810354,200.0,1
A336_1,1.081901,6.190096,200.0,1
A335_0,0.545406,6.646297,200.0,1
A334_0,0.6794247,8.820783,200.0,2
A333_0,0.3331693,7.566951,200.0,2
A332_0,2.8535266,7.6234703,200.0,0
A331_0,0.6459913,8.137117,200.0,2
A331_1,0.056003265,8.123043,100.0,2
